Level	Rule Name	Subject	Property	Value
ERROR	missing_label	UBERON:0007524	rdfs:label		
ERROR	missing_label	UBERON:0007530	rdfs:label		
ERROR	missing_label	UBERON:0007592	rdfs:label		
ERROR	missing_label	UBERON:0007601	rdfs:label		
ERROR	missing_label	UBERON:0007690	rdfs:label		
ERROR	missing_label	UBERON:0008814	rdfs:label		
ERROR	missing_label	UBERON:0008947	rdfs:label		
ERROR	missing_label	UBERON:0009142	rdfs:label		
ERROR	missing_label	UBERON:0009145	rdfs:label		
ERROR	missing_label	UBERON:0009569	rdfs:label		
ERROR	missing_label	UBERON:0009602	rdfs:label		
ERROR	missing_label	UBERON:0009603	rdfs:label		
ERROR	missing_label	UBERON:0009618	rdfs:label		
ERROR	missing_label	UBERON:0009722	rdfs:label		
ERROR	missing_label	UBERON:0009854	rdfs:label		
ERROR	missing_label	UBERON:0009856	rdfs:label		
ERROR	missing_label	UBERON:0010000	rdfs:label		
ERROR	missing_label	UBERON:0010316	rdfs:label		
ERROR	missing_label	UBERON:0010371	rdfs:label		
ERROR	missing_label	UBERON:0010378	rdfs:label		
ERROR	missing_label	UBERON:0010498	rdfs:label		
ERROR	missing_label	UBERON:0010499	rdfs:label		
ERROR	missing_label	UBERON:0010912	rdfs:label		
ERROR	missing_label	UBERON:0011134	rdfs:label		
ERROR	missing_label	UBERON:0011137	rdfs:label		
ERROR	missing_label	UBERON:0011138	rdfs:label		
ERROR	missing_label	UBERON:0011216	rdfs:label		
ERROR	missing_label	UBERON:0011585	rdfs:label		
ERROR	missing_label	UBERON:0011676	rdfs:label		
ERROR	missing_label	UBERON:0012274	rdfs:label		
ERROR	missing_label	UBERON:0012275	rdfs:label		
ERROR	missing_label	UBERON:0013522	rdfs:label		
ERROR	missing_label	UBERON:0013686	rdfs:label		
ERROR	missing_label	UBERON:0013701	rdfs:label		
ERROR	missing_label	UBERON:0013702	rdfs:label		
ERROR	missing_label	UBERON:0013754	rdfs:label		
ERROR	missing_label	UBERON:0013765	rdfs:label		
ERROR	missing_label	UBERON:0014477	rdfs:label		
ERROR	missing_label	UBERON:0015212	rdfs:label		
ERROR	missing_label	UBERON:0015329	rdfs:label		
ERROR	missing_label	UBERON:0015833	rdfs:label		
ERROR	missing_label	UBERON:0016879	rdfs:label		
ERROR	missing_label	UBERON:0016880	rdfs:label		
ERROR	missing_label	UBERON:0034921	rdfs:label		
ERROR	missing_label	UBERON:0034925	rdfs:label		
ERROR	missing_label	UBERON:0036072	rdfs:label		
ERROR	missing_label	UBERON:0036073	rdfs:label		
ERROR	missing_ontology_description	scao.owl	dc11:description		
ERROR	missing_ontology_license	scao.owl	dc:license		
ERROR	missing_ontology_title	scao.owl	dc11:title		
WARN	multiple_asserted_superclasses	CL:0000000	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	CL:0000000	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	CL:0000003	rdfs:subClassOf	CL:0000000	
WARN	multiple_asserted_superclasses	CL:0000003	rdfs:subClassOf	GO:0005623	
WARN	multiple_asserted_superclasses	CL:0001034	rdfs:subClassOf	CL:0000000	
WARN	multiple_asserted_superclasses	CL:0001034	rdfs:subClassOf	GO:0005623	
WARN	multiple_asserted_superclasses	CL:0002076	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002076	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002077	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002077	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002319	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0002319	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002320	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0002320	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	GO:0005623	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	GO:0005623	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	GO:0043229	rdfs:subClassOf	GO:0043226	
WARN	multiple_asserted_superclasses	GO:0043229	rdfs:subClassOf	GO:0044424	
WARN	multiple_asserted_superclasses	GO:0043231	rdfs:subClassOf	GO:0043227	
WARN	multiple_asserted_superclasses	GO:0043231	rdfs:subClassOf	GO:0043229	
WARN	multiple_asserted_superclasses	GO:0044464	rdfs:subClassOf	CARO:0000014	
WARN	multiple_asserted_superclasses	GO:0044464	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	UBERON:0000065	rdfs:subClassOf	UBERON:0001005	
WARN	multiple_asserted_superclasses	UBERON:0000065	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0000072	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0000072	rdfs:subClassOf	UBERON:0013522	
WARN	multiple_asserted_superclasses	UBERON:0000076	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0000076	rdfs:subClassOf	UBERON:0000490	
WARN	multiple_asserted_superclasses	UBERON:0000076	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0000077	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0000077	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0000078	rdfs:subClassOf	UBERON:0000077	
WARN	multiple_asserted_superclasses	UBERON:0000078	rdfs:subClassOf	UBERON:0004121	
WARN	multiple_asserted_superclasses	UBERON:0000114	rdfs:subClassOf	UBERON:0000077	
WARN	multiple_asserted_superclasses	UBERON:0000114	rdfs:subClassOf	UBERON:0003580	
WARN	multiple_asserted_superclasses	UBERON:0000114	rdfs:subClassOf	UBERON:0003837	
WARN	multiple_asserted_superclasses	UBERON:0000117	rdfs:subClassOf	UBERON:0000025	
WARN	multiple_asserted_superclasses	UBERON:0000117	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0000118	rdfs:subClassOf	UBERON:0005153	
WARN	multiple_asserted_superclasses	UBERON:0000118	rdfs:subClassOf	UBERON:0005911	
WARN	multiple_asserted_superclasses	UBERON:0000170	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0000170	rdfs:subClassOf	UBERON:0034925	
WARN	multiple_asserted_superclasses	UBERON:0000307	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0000307	rdfs:subClassOf	UBERON:0000922	
WARN	multiple_asserted_superclasses	UBERON:0000383	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0000383	rdfs:subClassOf	UBERON:0011216	
WARN	multiple_asserted_superclasses	UBERON:0000485	rdfs:subClassOf	UBERON:0000490	
WARN	multiple_asserted_superclasses	UBERON:0000485	rdfs:subClassOf	UBERON:0012274	
WARN	multiple_asserted_superclasses	UBERON:0000915	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0000915	rdfs:subClassOf	UBERON:0009569	
WARN	multiple_asserted_superclasses	UBERON:0000915	rdfs:subClassOf	UBERON:0011676	
WARN	multiple_asserted_superclasses	UBERON:0001015	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0001015	rdfs:subClassOf	UBERON:0011216	
WARN	multiple_asserted_superclasses	UBERON:0001017	rdfs:subClassOf	UBERON:0004121	
WARN	multiple_asserted_superclasses	UBERON:0001017	rdfs:subClassOf	UBERON:0011216	
WARN	multiple_asserted_superclasses	UBERON:0001558	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0001558	rdfs:subClassOf	UBERON:0000072	
WARN	multiple_asserted_superclasses	UBERON:0001630	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0001630	rdfs:subClassOf	UBERON:0000062	
WARN	multiple_asserted_superclasses	UBERON:0001630	rdfs:subClassOf	UBERON:0005090	
WARN	multiple_asserted_superclasses	UBERON:0002048	rdfs:subClassOf	UBERON:0000171	
WARN	multiple_asserted_superclasses	UBERON:0002048	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0002048	rdfs:subClassOf	UBERON:0005178	
WARN	multiple_asserted_superclasses	UBERON:0002048	rdfs:subClassOf	UBERON:0015212	
WARN	multiple_asserted_superclasses	UBERON:0002090	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0002090	rdfs:subClassOf	UBERON:0010912	
WARN	multiple_asserted_superclasses	UBERON:0002204	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0002204	rdfs:subClassOf	UBERON:0000467	
WARN	multiple_asserted_superclasses	UBERON:0002329	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0002329	rdfs:subClassOf	UBERON:0005423	
WARN	multiple_asserted_superclasses	UBERON:0002329	rdfs:subClassOf	UBERON:0007503	
WARN	multiple_asserted_superclasses	UBERON:0002385	rdfs:subClassOf	UBERON:0000479	
WARN	multiple_asserted_superclasses	UBERON:0002385	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0002416	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0002416	rdfs:subClassOf	UBERON:0000467	
WARN	multiple_asserted_superclasses	UBERON:0003077	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0003077	rdfs:subClassOf	UBERON:0007524	
WARN	multiple_asserted_superclasses	UBERON:0003077	rdfs:subClassOf	UBERON:0015212	
WARN	multiple_asserted_superclasses	UBERON:0003081	rdfs:subClassOf	UBERON:0002050	
WARN	multiple_asserted_superclasses	UBERON:0003081	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0003081	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0003081	rdfs:subClassOf	UBERON:0007524	
WARN	multiple_asserted_superclasses	UBERON:0003089	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0003089	rdfs:subClassOf	UBERON:0005856	
WARN	multiple_asserted_superclasses	UBERON:0003089	rdfs:subClassOf	UBERON:0007530	
WARN	multiple_asserted_superclasses	UBERON:0003102	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0003102	rdfs:subClassOf	UBERON:0000061	
WARN	multiple_asserted_superclasses	UBERON:0003258	rdfs:subClassOf	UBERON:0000490	
WARN	multiple_asserted_superclasses	UBERON:0003258	rdfs:subClassOf	UBERON:0005911	
WARN	multiple_asserted_superclasses	UBERON:0003258	rdfs:subClassOf	UBERON:0015833	
WARN	multiple_asserted_superclasses	UBERON:0003580	rdfs:subClassOf	UBERON:0003570	
WARN	multiple_asserted_superclasses	UBERON:0003580	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0003914	rdfs:subClassOf	UBERON:0000025	
WARN	multiple_asserted_superclasses	UBERON:0003914	rdfs:subClassOf	UBERON:0000483	
WARN	multiple_asserted_superclasses	UBERON:0004119	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0004119	rdfs:subClassOf	UBERON:0000061	
WARN	multiple_asserted_superclasses	UBERON:0004120	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0004120	rdfs:subClassOf	UBERON:0000061	
WARN	multiple_asserted_superclasses	UBERON:0004121	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0004121	rdfs:subClassOf	UBERON:0000061	
WARN	multiple_asserted_superclasses	UBERON:0004185	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0004185	rdfs:subClassOf	UBERON:0004921	
WARN	multiple_asserted_superclasses	UBERON:0004802	rdfs:subClassOf	UBERON:0004807	
WARN	multiple_asserted_superclasses	UBERON:0004802	rdfs:subClassOf	UBERON:0005911	
WARN	multiple_asserted_superclasses	UBERON:0004802	rdfs:subClassOf	UBERON:0010499	
WARN	multiple_asserted_superclasses	UBERON:0004873	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0004873	rdfs:subClassOf	UBERON:0002050	
WARN	multiple_asserted_superclasses	UBERON:0004883	rdfs:subClassOf	UBERON:0000077	
WARN	multiple_asserted_superclasses	UBERON:0004883	rdfs:subClassOf	UBERON:0003104	
WARN	multiple_asserted_superclasses	UBERON:0004906	rdfs:subClassOf	UBERON:0004121	
WARN	multiple_asserted_superclasses	UBERON:0004906	rdfs:subClassOf	UBERON:0004921	
WARN	multiple_asserted_superclasses	UBERON:0005256	rdfs:subClassOf	UBERON:0003104	
WARN	multiple_asserted_superclasses	UBERON:0005256	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0005597	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0005597	rdfs:subClassOf	UBERON:0001048	
WARN	multiple_asserted_superclasses	UBERON:0005856	rdfs:subClassOf	UBERON:0007524	
WARN	multiple_asserted_superclasses	UBERON:0005856	rdfs:subClassOf	UBERON:0011585	
WARN	multiple_asserted_superclasses	UBERON:0005911	rdfs:subClassOf	UBERON:0000483	
WARN	multiple_asserted_superclasses	UBERON:0005911	rdfs:subClassOf	UBERON:0004119	
WARN	multiple_asserted_superclasses	UBERON:0005944	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0005944	rdfs:subClassOf	UBERON:0010912	
WARN	multiple_asserted_superclasses	UBERON:0006595	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0006595	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0006601	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0006601	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0006603	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0006603	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0007282	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0007282	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0007285	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0007285	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0007376	rdfs:subClassOf	UBERON:0003102	
WARN	multiple_asserted_superclasses	UBERON:0007376	rdfs:subClassOf	UBERON:0010371	
WARN	multiple_asserted_superclasses	UBERON:0007383	rdfs:subClassOf	UBERON:0000490	
WARN	multiple_asserted_superclasses	UBERON:0007383	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0007383	rdfs:subClassOf	UBERON:0010371	
WARN	multiple_asserted_superclasses	UBERON:0007499	rdfs:subClassOf	UBERON:0003914	
WARN	multiple_asserted_superclasses	UBERON:0007499	rdfs:subClassOf	UBERON:0009856	
WARN	multiple_asserted_superclasses	UBERON:0007592	rdfs:subClassOf	UBERON:0000485	
WARN	multiple_asserted_superclasses	UBERON:0007592	rdfs:subClassOf	UBERON:0007601	
WARN	multiple_asserted_superclasses	UBERON:0007690	rdfs:subClassOf	UBERON:0003258	
WARN	multiple_asserted_superclasses	UBERON:0007690	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0008947	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0008947	rdfs:subClassOf	UBERON:0001048	
WARN	multiple_asserted_superclasses	UBERON:0009722	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0009722	rdfs:subClassOf	UBERON:0005911	
WARN	multiple_asserted_superclasses	UBERON:0009722	rdfs:subClassOf	UBERON:0015833	
WARN	multiple_asserted_superclasses	UBERON:0009854	rdfs:subClassOf	UBERON:0004921	
WARN	multiple_asserted_superclasses	UBERON:0009854	rdfs:subClassOf	UBERON:0009856	
WARN	multiple_asserted_superclasses	UBERON:0010316	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0010316	rdfs:subClassOf	UBERON:0002050	
WARN	multiple_asserted_superclasses	UBERON:0010316	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0010371	rdfs:subClassOf	UBERON:0000483	
